name;symbol
ADTRAN, Inc.;QH9
Aixtron SE;AIXA
Bechtle AG;BC8
Cancom SE;COK
Carl Zeiss Meditec AG;AFX
CompuGroup Medical SE;COP
Deutsche Telekom AG;DTE
Evotec AG;EVT
Freenet AG;FNTN
Hensoldt AG;HAG
Infineon Technologies AG;IFX
Jenoptik AG;JEN
MorphoSys AG;MOR
Nagarro SE;NA9
Nemetschek SE;NEM
Nordex SE;NDX1
Qiagen N.V.;QIA
SAP SE;SAP
Sartorius AG;SRT3
Siemens Healthineers AG;SHL
Siltronic AG;WAF
SMA Solar Technology AG;S92
Software AG;SOW
SUSE Software Solutions Germany GmbH;SUSE
TeamViewer AG;TMV
Telefónica Deutschland Holding AG;O2D
United Internet AG;UTDI
Vantage Towers AG;VTWR
Varta AG;VAR1
VERBIO Vereinigte Bioenergie AG;VBK
Adidas;ADS
Airbus;AIR
Allianz;ALV
BASF;BAS
Bayer;BAYN
Beiersdorf;BEI
BMW;BMW
Brenntag;BNR
Continental;CON
Covestro;1COV
Daimler Truck;DTG
Deutsche Bank;DBK
Deutsche Börse;DB1
Deutsche Post;DPW
Deutsche Telekom;DTE
E.ON;EOAN
Fresenius;FRE
Fresenius Medical Care;FME
Hannover Rück;HNR1
HeidelbergCement (Heidelberg Materials);HEI
Henkel;HEN3
Infineon;IFX
Linde;LIN
Mercedes-Benz Group;MBG
Merck;MRK
MTU Aero Engines;MTX
Münchener Rück;MUV2
Porsche SE;PAH3
Puma;PUM
Qiagen;QIA
RWE;RWE
SAP;SAP
Sartorius;SRT3
Siemens;SIE
Siemens Energy;ENR
Siemens Healthineers;SHL
Symrise;SY1
Volkswagen;VOW3
Vonovia;VNA
Zalando;ZAL
1&1 AG;1U1
About You AG & Co. KG;YOU
Adesso SE;ADN1
Amadeus FiRe AG;AAD
ATOSS Software AG;AOF
Auto1 Group SE;AG1
Basler AG;BSL
BayWa AG;BYW
Bilfinger SE;GBF
Cancom SE;COK
Ceconomy AG;CEC
Cewe Stiftung & Co. KGaA;CWC
CompuGroup Medical SE & Co. KGaA;COP
CropEnergies AG;CE2
Dermapharm Holding SE;DMP
Deutsche Pfandbriefbank AG;PBB
Deutz AG;DEZ’
DIC Asset AG;DIC
Drägerwerk AG & Co. KGaA;DRW3|DWR8
DWS Group GmbH & Co. KGaA;DWS
Eckert & Ziegler Strahlen- und Medizintechnik AG;EUZ
Energiekontor AG;EKT
Fielmann AG;FIE
flatexDEGIRO AG;FTK
GFT Technologies SE;GFT
Grand City Properties S.A.;GYC
Grenke AG;GLJ
Hamborner Reit AG;HABA
Heidelberger Druckmaschinen AG;HDD
Hensoldt AG;HAG
Hochtief AG;HOT
Hornbach Holding AG;HBH
Hypoport SE;HYQ
Indus Holding AG;INH
Instone Real Estate Group AG;INS
Jenoptik AG;JEN
Jost Werke AG;JST
Klöckner & Co SE;KCO
Kontron S&T AG;
Krones AG;KTN
KWS SAAT SE & Co. KGaA;KWS
Medios AG;ILM1
Metro AG;B4B
Morphosys AG;MOR
Nagarro SE;NA9
New Work SE;NWO
Nordex SE;NDX1
Norma Group SE;NOEJ
Patrizia AG;PAT
Pfeiffer Vacuum Technology AG;PFV
PNE AG;PNE3
PVA TePla AG;TPE
SAF-Holland SE;SFQ
Salzgitter AG;SZG
Schaeffler AG;SHA
Secunet Security Networks AG;YSN
SGL Carbon SE;SGL
Shop Apotheke Europe;SAE
SMA Solar Technology;S92
Sto SE & Co. KGaA;STO3
STRATEC SE;SBS
Südzucker AG;SZU
SUSE S.A.;SUSE
Synlab AG;SYAB
Traton SE;8TRA
Uniper SE;UN01
VERBIO Vereinigte Bioenergie AG;VBK
Vitesco Technologies Group AG;VTSC
Wacker Neuson SE;WAC
Zeal Network;TIMA
ADTRAN, Inc.;QH9
Aixtron SE;AIXA
Aroundtown S.A.;AT1
Aurubis AG;NDA
Bechtle AG;BC8
Befesa S.A.;BFSA
Carl Zeiss Meditec AG;AFX
Commerzbank AG;CBK
CTS Eventim AG & Co. KGaA;EVD
Delivery Hero SE;DHER
Deutsche Lufthansa AG;LHA
Deutsche Wohnen SE;DWNI
Dürr AG;DUE
Encavis AG;ECV
Evonik Industries AG;EVK
Evotec SE;EVT
Fraport AG;FRA
Freenet AG;FNTN
Fuchs Petrolub SE;FPE
GEA Group AG;G1A
Gerresheimer AG;GXI
HELLA GmbH & Co. KGaA;HLE
HelloFresh SE;HFG
Hugo Boss AG;BOSS
Jungheinrich AG;JUN3
K+S AG;SDF
Kion Group AG;KGX
Knorr-Bremse AG;KGX
Lanxess AG;LXS
LEG Immobilien AG;LEG
Nemetschek SE;NEM
ProSiebenSat.1 Media SE;PSM
Rational AG;RAA
Rheinmetall AG;RHM
RTL Group S.A.;RRTL
Scout24 AG;G24
Siltronic AG;WAF
Sixt SE;SIX2
Software AG;SOW
Stabilus SE;STM
Ströer SE & Co. KGaA;SAX
TAG Immobilien AG;TEG
Talanx AG;TLX
TeamViewer AG;TMV
Telefónica Deutschland Holding AG;O2D
Thyssenkrupp AG;TKA
United Internet AG;UTDI
Vantage Towers AG;VTWR
Varta AG;VAR1
Wacker Chemie AG;WCH